epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,2856.85,0.64912,0.45885,1.01809,0.93915,0.83498,0.90756,0.72397,0.93183,0.58225,1.26848,0.000102854,0.000102854,0.000102854
177,2872.85,0.64734,0.44484,1.01114,0.93446,0.82872,0.90542,0.72425,0.95564,0.58665,1.29335,9.90472e-05,9.90472e-05,9.90472e-05
178,2888.63,0.60992,0.43967,1.01831,0.91845,0.85166,0.90953,0.72199,0.96225,0.59679,1.3067,9.52406e-05,9.52406e-05,9.52406e-05
179,2904.65,0.66109,0.44989,1.01113,0.89647,0.84235,0.90313,0.72309,0.94282,0.61281,1.28671,9.14341e-05,9.14341e-05,9.14341e-05
180,2920.79,0.61221,0.43446,1.01198,0.89328,0.84385,0.90163,0.71732,0.91859,0.60951,1.25534,8.76275e-05,8.76275e-05,8.76275e-05
181,2937.73,0.65859,0.45359,1.00826,0.90983,0.83042,0.90256,0.71868,0.91749,0.61029,1.26255,8.3821e-05,8.3821e-05,8.3821e-05
182,2953.62,0.6326,0.45375,1.02133,0.90436,0.8458,0.90245,0.7204,0.92373,0.612,1.25975,8.00144e-05,8.00144e-05,8.00144e-05
183,2969.77,0.62514,0.43438,0.99061,0.90957,0.85858,0.90722,0.73024,0.92366,0.60161,1.26257,7.62079e-05,7.62079e-05,7.62079e-05
184,2985.8,0.64204,0.44845,1.01835,0.90341,0.85413,0.90531,0.7308,0.91759,0.59678,1.25466,7.24013e-05,7.24013e-05,7.24013e-05
185,3001.86,0.62615,0.42893,0.99557,0.92287,0.83376,0.90534,0.73388,0.91081,0.59241,1.24966,6.85948e-05,6.85948e-05,6.85948e-05
186,3018.55,0.65802,0.439,1.00487,0.90586,0.86693,0.9145,0.73881,0.915,0.58937,1.25484,6.47882e-05,6.47882e-05,6.47882e-05
187,3034.84,0.59262,0.42017,0.99777,0.91973,0.86202,0.91129,0.73288,0.92368,0.58078,1.26658,6.09817e-05,6.09817e-05,6.09817e-05
188,3050.7,0.62155,0.42659,1.0137,0.89999,0.88452,0.91311,0.73135,0.94327,0.59553,1.27871,5.71751e-05,5.71751e-05,5.71751e-05
189,3066.75,0.62369,0.43138,1.01699,0.92558,0.83907,0.91048,0.7295,0.93595,0.59817,1.27048,5.33686e-05,5.33686e-05,5.33686e-05
190,3082.69,0.60358,0.42758,0.99846,0.88849,0.86569,0.9127,0.73081,0.93953,0.5946,1.27532,4.95621e-05,4.95621e-05,4.95621e-05
191,3101.67,0.52102,0.34635,0.92988,0.93605,0.856,0.91172,0.72125,0.94597,0.58753,1.29574,4.57555e-05,4.57555e-05,4.57555e-05
192,3117.31,0.47398,0.32347,0.91223,0.91156,0.86235,0.90412,0.72133,0.95467,0.58562,1.30754,4.1949e-05,4.1949e-05,4.1949e-05
193,3132.93,0.48398,0.32249,0.92183,0.90517,0.89149,0.91353,0.72525,0.94232,0.58657,1.29526,3.81424e-05,3.81424e-05,3.81424e-05
194,3148.75,0.4976,0.32414,0.92709,0.95313,0.83694,0.91437,0.72296,0.93402,0.57681,1.29495,3.43359e-05,3.43359e-05,3.43359e-05
195,3164.55,0.49086,0.31942,0.91267,0.92592,0.85989,0.91526,0.72683,0.92272,0.57406,1.2852,3.05293e-05,3.05293e-05,3.05293e-05
196,3180.79,0.49537,0.31853,0.90067,0.93046,0.8585,0.914,0.73158,0.92224,0.56873,1.28372,2.67228e-05,2.67228e-05,2.67228e-05
197,3197.18,0.47837,0.3097,0.90583,0.95233,0.8364,0.91161,0.72986,0.92397,0.56738,1.28268,2.29162e-05,2.29162e-05,2.29162e-05
198,3212.93,0.48572,0.3133,0.90416,0.94438,0.83595,0.91078,0.73069,0.9157,0.56952,1.27069,1.91097e-05,1.91097e-05,1.91097e-05
199,3228.39,0.48508,0.30977,0.91459,0.94578,0.84315,0.91238,0.73081,0.91765,0.56492,1.2733,1.53031e-05,1.53031e-05,1.53031e-05
200,3244.04,0.47414,0.3104,0.9158,0.95159,0.83924,0.91226,0.73141,0.91466,0.5708,1.26856,1.14966e-05,1.14966e-05,1.14966e-05
