epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,691.955,1.11549,0.91639,1.26241,0.81499,0.78335,0.8272,0.59322,1.16987,0.89675,1.40611,0.000612931,0.000612931,0.000612931
43,707.889,1.09333,0.90201,1.29317,0.80767,0.7351,0.79027,0.56208,1.11035,0.95636,1.35302,0.000609125,0.000609125,0.000609125
44,724.333,1.12681,0.93624,1.28464,0.86312,0.76279,0.86504,0.61546,1.14027,0.84989,1.36185,0.000605318,0.000605318,0.000605318
45,740.607,1.11937,0.9084,1.25321,0.81329,0.76976,0.84217,0.61544,1.07989,0.88056,1.33748,0.000601512,0.000601512,0.000601512
46,756.36,1.07675,0.87855,1.25878,0.82697,0.77601,0.82932,0.59549,1.21056,0.92094,1.42452,0.000597705,0.000597705,0.000597705
47,772.07,1.1013,0.87907,1.27391,0.82938,0.73829,0.82643,0.58953,1.2173,0.89909,1.39226,0.000593899,0.000593899,0.000593899
48,787.7,1.12809,0.92217,1.30517,0.81933,0.69662,0.78863,0.58693,1.1807,1.00397,1.41224,0.000590092,0.000590092,0.000590092
49,804.343,1.10425,0.8733,1.26991,0.87441,0.75344,0.8313,0.59519,1.15693,0.91355,1.38364,0.000586286,0.000586286,0.000586286
50,820.44,1.0512,0.87493,1.24388,0.84825,0.72419,0.81657,0.5906,1.15051,0.97404,1.37128,0.000582479,0.000582479,0.000582479
51,836.449,1.08493,0.91528,1.28777,0.86296,0.80608,0.84642,0.6123,1.16562,0.93527,1.41702,0.000578672,0.000578672,0.000578672
52,852.326,1.04133,0.83611,1.24867,0.8385,0.79224,0.82725,0.621,1.09105,0.84558,1.35185,0.000574866,0.000574866,0.000574866
53,868.434,1.10583,0.86749,1.24274,0.85571,0.76819,0.8265,0.62447,1.06256,0.81767,1.3295,0.000571059,0.000571059,0.000571059
54,884.666,1.05351,0.88999,1.25456,0.86547,0.78923,0.85026,0.63616,1.05328,0.92092,1.32681,0.000567253,0.000567253,0.000567253
55,901.299,1.00162,0.78894,1.22104,0.89218,0.75916,0.83467,0.61264,1.17845,0.91998,1.415,0.000563446,0.000563446,0.000563446
56,917.08,1.03468,0.78274,1.23785,0.83545,0.82621,0.87212,0.64931,1.07017,0.8462,1.31599,0.00055964,0.00055964,0.00055964
57,932.99,1.03692,0.79444,1.25571,0.87169,0.82306,0.88428,0.64733,1.14497,0.74129,1.34584,0.000555833,0.000555833,0.000555833
58,948.851,1.05292,0.82359,1.22172,0.87303,0.78957,0.86222,0.63096,1.14492,0.86484,1.37973,0.000552027,0.000552027,0.000552027
59,964.996,1.02141,0.80033,1.23632,0.85853,0.73288,0.84659,0.62951,1.08375,0.83386,1.34596,0.00054822,0.00054822,0.00054822
60,981.585,1.01543,0.77751,1.21756,0.87718,0.80343,0.85626,0.63407,1.1025,0.85247,1.36757,0.000544414,0.000544414,0.000544414
61,997.673,1.00238,0.74564,1.19395,0.87095,0.79219,0.87109,0.657,1.02954,0.81859,1.29943,0.000540607,0.000540607,0.000540607
62,1013.66,1.00931,0.79629,1.22419,0.84733,0.78137,0.83785,0.63531,1.12072,0.83764,1.37442,0.0005368,0.0005368,0.0005368
63,1029.58,0.99904,0.78052,1.22771,0.7779,0.77653,0.82267,0.6046,1.13691,0.8789,1.37361,0.000532994,0.000532994,0.000532994
64,1045.51,0.9714,0.78524,1.21667,0.79513,0.76281,0.84627,0.62606,1.09,0.87221,1.32744,0.000529187,0.000529187,0.000529187
65,1061.78,1.01706,0.78037,1.19299,0.83076,0.78803,0.83177,0.61678,1.12243,0.8943,1.34937,0.000525381,0.000525381,0.000525381
66,1078.2,0.99372,0.79367,1.2152,0.90988,0.71143,0.80599,0.58843,1.15722,0.89119,1.39689,0.000521574,0.000521574,0.000521574
67,1093.96,1.03833,0.77193,1.20501,0.84591,0.79505,0.85071,0.62328,1.18232,0.83811,1.39043,0.000517768,0.000517768,0.000517768
68,1110.06,1.01906,0.74887,1.19521,0.88157,0.78886,0.86731,0.64166,1.10561,0.8126,1.32903,0.000513961,0.000513961,0.000513961
69,1125.88,0.96321,0.71392,1.16126,0.85008,0.74509,0.81848,0.6077,1.07212,0.93603,1.33228,0.000510155,0.000510155,0.000510155
70,1142.01,0.93686,0.75306,1.17616,0.88325,0.7587,0.82427,0.6021,1.2134,0.84735,1.46065,0.000506348,0.000506348,0.000506348
71,1158.79,0.96597,0.77416,1.20854,0.85468,0.78945,0.85373,0.63546,1.08758,0.8222,1.36784,0.000502541,0.000502541,0.000502541
72,1174.59,0.95923,0.71212,1.17619,0.85532,0.81737,0.84351,0.64142,1.05345,0.91142,1.32685,0.000498735,0.000498735,0.000498735
73,1190.42,0.96709,0.70296,1.1983,0.85985,0.80948,0.87873,0.65011,1.09755,0.74621,1.33722,0.000494928,0.000494928,0.000494928
74,1206.31,0.97643,0.72394,1.17967,0.89333,0.76519,0.86308,0.64598,1.08044,0.75946,1.33181,0.000491122,0.000491122,0.000491122
75,1222.3,0.97822,0.72011,1.16235,0.90444,0.81405,0.87386,0.64825,1.06781,0.82561,1.35092,0.000487315,0.000487315,0.000487315
76,1239.04,0.93378,0.6926,1.17388,0.88687,0.78158,0.86201,0.65953,1.03077,0.78775,1.28204,0.000483509,0.000483509,0.000483509
77,1255,0.92573,0.69349,1.16079,0.89887,0.77454,0.85661,0.64143,1.11295,0.81895,1.34976,0.000479702,0.000479702,0.000479702
78,1270.79,0.95446,0.70769,1.17559,0.86113,0.83351,0.87648,0.66848,1.09787,0.84821,1.34846,0.000475896,0.000475896,0.000475896
79,1286.71,1.0009,0.73829,1.16101,0.81968,0.85528,0.87795,0.67302,1.0493,0.69857,1.32419,0.000472089,0.000472089,0.000472089
80,1302.65,0.91763,0.67808,1.16123,0.87984,0.77011,0.8494,0.6511,1.066,0.84119,1.33633,0.000468283,0.000468283,0.000468283
81,1318.81,0.9147,0.65931,1.14023,0.91893,0.79056,0.88228,0.67273,1.04476,0.72444,1.33743,0.000464476,0.000464476,0.000464476
82,1335.13,0.90366,0.68714,1.15288,0.92258,0.81094,0.88745,0.68676,1.00354,0.70783,1.29549,0.000460669,0.000460669,0.000460669
83,1350.78,0.8873,0.68159,1.17444,0.87112,0.79599,0.85194,0.62523,1.10935,0.7544,1.37793,0.000456863,0.000456863,0.000456863
84,1366.7,0.90349,0.68861,1.18125,0.89556,0.79956,0.87854,0.66911,1.01583,0.73848,1.30691,0.000453056,0.000453056,0.000453056
85,1382.61,0.90781,0.67636,1.16976,0.87816,0.82128,0.87039,0.64804,1.09684,0.73093,1.33224,0.00044925,0.00044925,0.00044925
86,1398.76,0.9053,0.67643,1.14661,0.8817,0.85016,0.90122,0.68276,1.04779,0.71273,1.33844,0.000445443,0.000445443,0.000445443
87,1415.55,0.92287,0.66951,1.14802,0.86583,0.85587,0.88517,0.68305,1.03866,0.75004,1.35094,0.000441637,0.000441637,0.000441637
88,1431.29,0.9303,0.67627,1.15674,0.90589,0.7878,0.87571,0.66648,1.06048,0.73114,1.34784,0.00043783,0.00043783,0.00043783
89,1447.12,0.90747,0.6534,1.15282,0.89367,0.80313,0.88193,0.6754,1.01587,0.70111,1.27398,0.000434024,0.000434024,0.000434024
90,1463.68,0.89121,0.63998,1.12513,0.88633,0.84304,0.87887,0.67974,1.0036,0.75711,1.29252,0.000430217,0.000430217,0.000430217
91,1479.67,0.91314,0.66315,1.15214,0.91503,0.81166,0.89344,0.67879,1.00599,0.71252,1.27753,0.000426411,0.000426411,0.000426411
92,1496.46,0.91164,0.65784,1.14468,0.8977,0.79856,0.87623,0.66822,0.9884,0.74899,1.27766,0.000422604,0.000422604,0.000422604
93,1512.04,0.82551,0.64882,1.14262,0.89916,0.83292,0.89126,0.69149,0.98576,0.75137,1.27755,0.000418797,0.000418797,0.000418797
94,1527.72,0.88274,0.64913,1.14194,0.90691,0.83604,0.89366,0.68238,1.02199,0.7146,1.2972,0.000414991,0.000414991,0.000414991
95,1543.47,0.91894,0.6404,1.12776,0.91497,0.81227,0.89969,0.68379,1.03336,0.67212,1.31114,0.000411184,0.000411184,0.000411184
96,1559.31,0.86088,0.63194,1.13361,0.89398,0.82853,0.88594,0.68157,1.04463,0.73866,1.32547,0.000407378,0.000407378,0.000407378
97,1575.48,0.84281,0.61019,1.11879,0.86503,0.81624,0.87013,0.64997,1.05672,0.74821,1.31801,0.000403571,0.000403571,0.000403571
98,1592.08,0.83054,0.62126,1.11657,0.87228,0.84347,0.89171,0.68441,1.02819,0.77535,1.30764,0.000399765,0.000399765,0.000399765
99,1607.98,0.86425,0.63662,1.11396,0.89498,0.84378,0.90016,0.70801,0.92967,0.70791,1.23533,0.000395958,0.000395958,0.000395958
100,1623.99,0.8336,0.6155,1.11712,0.8712,0.82432,0.88648,0.69028,0.98172,0.73629,1.26368,0.000392152,0.000392152,0.000392152
101,1639.93,0.84825,0.61554,1.12828,0.83843,0.8223,0.86146,0.6443,1.04757,0.79985,1.31511,0.000388345,0.000388345,0.000388345
102,1655.64,0.82412,0.61284,1.1186,0.91812,0.80586,0.88949,0.68699,0.98553,0.77677,1.27528,0.000384538,0.000384538,0.000384538
103,1672.41,0.83203,0.59729,1.11211,0.89601,0.82653,0.88183,0.67317,1.07211,0.79483,1.33304,0.000380732,0.000380732,0.000380732
104,1688.21,0.85742,0.60987,1.11501,0.8893,0.82036,0.89386,0.69984,0.99474,0.66971,1.29799,0.000376925,0.000376925,0.000376925
105,1704.03,0.83403,0.63934,1.1269,0.8952,0.77943,0.86557,0.69516,0.98415,0.7075,1.28652,0.000373119,0.000373119,0.000373119
106,1719.8,0.87115,0.62341,1.13422,0.8739,0.81948,0.89345,0.71702,0.9593,0.67677,1.27121,0.000369312,0.000369312,0.000369312
107,1735.6,0.80838,0.59354,1.10305,0.87356,0.80848,0.87065,0.69137,0.96911,0.71761,1.29045,0.000365506,0.000365506,0.000365506
108,1751.75,0.78218,0.58324,1.1064,0.92178,0.80159,0.88022,0.68602,0.96512,0.70818,1.26231,0.000361699,0.000361699,0.000361699
109,1768.22,0.82397,0.61203,1.11519,0.86091,0.83591,0.87991,0.69926,0.97277,0.70274,1.25944,0.000357893,0.000357893,0.000357893
110,1783.98,0.82019,0.60822,1.11361,0.89653,0.82672,0.87494,0.68371,0.97222,0.78585,1.26537,0.000354086,0.000354086,0.000354086
111,1799.71,0.82338,0.60822,1.11082,0.89833,0.82997,0.88994,0.69148,1.00472,0.7244,1.30148,0.00035028,0.00035028,0.00035028
112,1815.76,0.80743,0.57711,1.07101,0.89545,0.81058,0.88011,0.68333,0.99663,0.75334,1.29229,0.000346473,0.000346473,0.000346473
113,1831.62,0.83852,0.59252,1.11175,0.89698,0.81755,0.87968,0.67374,1.0567,0.68351,1.38403,0.000342666,0.000342666,0.000342666
114,1848.46,0.80559,0.5845,1.10187,0.90653,0.84326,0.89703,0.70007,1.00108,0.67531,1.30438,0.00033886,0.00033886,0.00033886
115,1864.54,0.84499,0.59695,1.09834,0.89765,0.81582,0.88135,0.68432,0.97478,0.69584,1.29948,0.000335053,0.000335053,0.000335053
116,1880.56,0.7926,0.57881,1.10157,0.92551,0.8267,0.89679,0.70566,0.95751,0.65778,1.25191,0.000331247,0.000331247,0.000331247
117,1896.54,0.81958,0.57275,1.08477,0.87863,0.84501,0.89442,0.705,0.96353,0.68653,1.24919,0.00032744,0.00032744,0.00032744
118,1912.46,0.78249,0.55505,1.08461,0.92594,0.80453,0.8831,0.70121,0.94278,0.68765,1.25802,0.000323634,0.000323634,0.000323634
119,1928.83,0.78645,0.55172,1.06553,0.93967,0.83595,0.89354,0.71294,0.94044,0.62519,1.24115,0.000319827,0.000319827,0.000319827
120,1945.5,0.81404,0.57574,1.11836,0.91364,0.84947,0.89946,0.70518,0.94731,0.67847,1.23948,0.000316021,0.000316021,0.000316021
121,1961.61,0.77443,0.55609,1.06942,0.91363,0.83319,0.88848,0.70321,0.94903,0.65475,1.27096,0.000312214,0.000312214,0.000312214
122,1977.75,0.81796,0.56522,1.09447,0.89198,0.80082,0.8746,0.69638,0.96352,0.78055,1.29882,0.000308407,0.000308407,0.000308407
123,1993.97,0.76264,0.56771,1.09919,0.9406,0.78894,0.86945,0.67931,1.01194,0.83258,1.31012,0.000304601,0.000304601,0.000304601
